rank,image_path,state,predicted_text,predicted_length,confidence,verified_text,notes
1161,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/010.jpg,ILLINOIS,Y9S4812,7,0.7329,,
1162,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/123.jpg,KANSAS,COA9944,7,0.6862,,
1163,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/012.jpg,MARYLAND,BCT5704,7,0.7603,,
1164,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/060.jpg,MICHIGAN,BZZ2429,7,0.7701,,
1165,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/090.jpg,MONTANA,AOD3112,7,0.7547,,
1166,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/061.jpg,NEW HAMPSHIRE,FIA6449,7,0.6167,,
1167,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/043.jpg,NEW YORK,KEW6668,7,0.9103,,
1168,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/011.jpg,NORTH CAROLINA,ZAL2577,7,0.9338,,
1169,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/137.jpg,OHIO,CKL6441,7,0.9574,,
1170,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/PENNSYLVANIA/1.jpg,PENNSYLVANIA,ELOH55A,7,0.9635,,
1171,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/095.jpg,TENNESSEE,3CC5019,7,0.8668,,
1172,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/087.jpg,TEXAS,TGR3536,7,0.9039,,
1173,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/103.jpg,VIRGINIA,SPYND0C,7,0.9307,,
1174,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/146.jpg,WASHINGTON,BYH7733,7,0.9257,,
1175,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/051.jpg,WEST VIRGINIA,AIO3332,7,0.8388,,
1176,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/011.jpg,WISCONSIN,PAM2621,7,0.7399,,
1177,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/017.jpg,ALASKA,ENY5899,7,0.8084,,
1178,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/134.jpg,ARKANSAS,FFF4233,7,0.735,,
1179,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/011.jpg,COLORADO,CFB9537,7,0.7305,,
1180,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/051.jpg,DELAWARE,PTO8895,7,0.5572,,
1181,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/085.jpg,FLORIDA,IUI7511,7,0.7065,,
1182,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/INDIANA/028.jpg,INDIANA,9BE4407,7,0.7754,,
1183,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/102.jpg,IOWA,OGG8088,7,0.6825,,
1184,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/098.jpg,KENTUCKY,MGN9776,7,0.7088,,
1185,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/143.jpg,LOUISIANA,3O9L578,7,0.841,,
1186,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/070.jpg,MAINE,PLI0044,7,0.5637,,
1187,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/134.jpg,MASSACHUSETTS,59EC166,7,0.6161,,
1188,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/075.jpg,MINNESOTA,NYE7592,7,0.8379,,
1189,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/047.jpg,MISSOURI,MAA6055,7,0.7269,,
1190,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/NEBRASKA/2.jpg,NEBRASKA,37EE545,7,0.7086,,
1191,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEVADA/018.jpg,NEVADA,MYTAH0E,7,0.5883,,
1192,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/073.jpg,NEW JERSEY,ECC017C,7,0.6619,,
1193,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/026.jpg,NEW MEXICO,AAM6806,7,0.5687,,
1194,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/033.jpg,NORTH DAKOTA,IOB0566,7,0.9051,,
1195,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/001.jpg,OKLAHOMA,EGJ3377,7,0.9103,,
1196,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OREGON/083.jpg,OREGON,PPP0000,7,0.6448,,
1197,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/059.jpg,RHODE ISLAND,WKA1001,7,0.8074,,
1198,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/006.jpg,SOUTH CAROLINA,JWA7772,7,0.8889,,
1199,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/029.jpg,SOUTH DAKOTA,IPG7777,7,0.7958,,
1200,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/UTAH/115.jpg,UTAH,Y3B5514,7,0.6562,,
1201,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/134.jpg,VERMONT,LGG2600,7,0.6753,,
1202,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALABAMA/021.jpg,ALABAMA,ALO8FJ8,7,0.6869,,
1203,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/107.jpg,AMERICAN SAMOA,USS1633,7,0.3986,,
1204,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CNMI/59.jpg,CNMI,ABS0995,7,0.6852,,
1205,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/087.jpg,GUAM,DED1500,7,0.9379,,
1206,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/104.jpg,HAWAI,DTB3326,7,0.9011,,
1207,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSIPPI/096.jpg,MISSIPPI,OAZ5800,7,0.7817,,
1208,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PUERTO RICO/084.jpg,PUERTO RICO,BTG0443,7,0.801,,
1209,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/072.jpg,U S VIRGIN ISLANDS,TET9933,7,0.9633,,
1210,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/096.jpg,WASHINGTON DC,PAW8248,7,0.7038,,
1211,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/086.jpg,WYOMING,GRA7866,7,0.5049,,
1212,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/048.jpg,ARIZONA,ATE3415,7,0.8139,,
1213,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/099.jpg,CALIFORNIA,2GATI23,7,0.7422,,
1214,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/065.jpg,CONNECTICUT,INS10E8,7,0.6755,,
1215,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/003.jpg,GEORGIA,RDJ7561,7,0.9692,,
1216,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IDAHO/101.jpg,IDAHO,BBLJ983,7,0.73,,
1217,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/042.jpg,ILLINOIS,LZT2359,7,0.7075,,
1218,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/038.jpg,KANSAS,BP31993,7,0.6729,,
1219,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/071.jpg,MARYLAND,FDW4176,7,0.7568,,
1220,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/143.jpg,MICHIGAN,EAI1174,7,0.7564,,
1221,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/107.jpg,MONTANA,AA33339,7,0.7528,,
1222,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/072.jpg,NEW HAMPSHIRE,HFB0M83,7,0.5981,,
1223,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/139.jpg,NEW YORK,FDJ3190,7,0.9096,,
1224,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/140.jpg,NORTH CAROLINA,RSJ6305,7,0.9255,,
1225,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/074.jpg,OHIO,AME1954,7,0.9367,,
1226,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/096.jpg,PENNSYLVANIA,ZBB0288,7,0.953,,
1227,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/134.jpg,TENNESSEE,GA95665,7,0.8425,,
1228,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/148.jpg,TEXAS,GHP7988,7,0.8887,,
1229,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/028.jpg,VIRGINIA,IGQ9177,7,0.9262,,
1230,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/065.jpg,WASHINGTON,BIG7885,7,0.9122,,
1231,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/076.jpg,WEST VIRGINIA,AHP5555,7,0.8325,,
1232,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/056.jpg,WISCONSIN,BBB2406,7,0.7291,,
1233,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/115.jpg,ALASKA,JDS4282,7,0.7954,,
1234,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/164.jpg,ARKANSAS,IBB11A0,7,0.7012,,
1235,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/111.jpg,COLORADO,RBL0110,7,0.7254,,
1236,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/003.jpg,DELAWARE,ASO0043,7,0.55,,
1237,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/013.jpg,FLORIDA,BLB644J,7,0.6965,,
1238,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/INDIANA/2.jpg,INDIANA,ILB2060,7,0.7564,,
1239,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/035.jpg,IOWA,G95RBEI,7,0.6802,,
1240,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/142.jpg,KENTUCKY,AOI9866,7,0.707,,
1241,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/110.jpg,LOUISIANA,AYBC635,7,0.8352,,
1242,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/MAINE/3.jpg,MAINE,AZ59939,7,0.5625,,
1243,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/093.jpg,MASSACHUSETTS,OOB11C1,7,0.6051,,
1244,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/024.jpg,MINNESOTA,AYP7I97,7,0.8119,,
1245,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/050.jpg,MISSOURI,ICY781L,7,0.7168,,
1246,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEBRASKA/067.jpg,NEBRASKA,AGS1122,7,0.689,,
1247,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEVADA/076.jpg,NEVADA,JDF4955,7,0.5877,,
1248,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/033.jpg,NEW JERSEY,XHP7550,7,0.651,,
1249,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/083.jpg,NEW MEXICO,NELC005,7,0.5565,,
1250,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/128.jpg,NORTH DAKOTA,HZZ1911,7,0.8951,,
1251,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/107.jpg,OKLAHOMA,BVV5977,7,0.9088,,
1252,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OREGON/058.jpg,OREGON,PPZ2223,7,0.6322,,
1253,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/006.jpg,RHODE ISLAND,IAD8774,7,0.8008,,
1254,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/069.jpg,SOUTH CAROLINA,HDD7275,7,0.8858,,
1255,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/016.jpg,SOUTH DAKOTA,LTV0225,7,0.7708,,
1256,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/UTAH/005.jpg,UTAH,B9I25AK,7,0.6398,,
1257,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/033.jpg,VERMONT,OBP2445,7,0.6519,,
1258,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/ALABAMA/4.jpg,ALABAMA,IZA729C,7,0.6841,,
1259,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/037.jpg,AMERICAN SAMOA,PPQ7923,7,0.3786,,
1260,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CNMI/30.jpg,CNMI,AFF4882,7,0.6845,,
1261,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/100.jpg,GUAM,ACC5599,7,0.9149,,
1262,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/065.jpg,HAWAI,HAZ5066,7,0.9006,,
1263,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSIPPI/133.jpg,MISSIPPI,PZP2406,7,0.7252,,
1264,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PUERTO RICO/037.jpg,PUERTO RICO,93X8933,7,0.7978,,
1265,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/094.jpg,U S VIRGIN ISLANDS,CCJ4911,7,0.9626,,
1266,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/124.jpg,WASHINGTON DC,93B6444,7,0.6846,,
1267,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/119.jpg,WYOMING,3XA1024,7,0.5046,,
1268,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/080.jpg,ARIZONA,GNZ7817,7,0.7806,,
1269,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/090.jpg,CALIFORNIA,7RSV070,7,0.7254,,
1270,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/049.jpg,CONNECTICUT,PD99274,7,0.6525,,
1271,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/069.jpg,GEORGIA,CMF5675,7,0.9684,,
1272,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IDAHO/005.jpg,IDAHO,BBZ7695,7,0.714,,
1273,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/014.jpg,ILLINOIS,BAA0886,7,0.7067,,
1274,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/149.jpg,KANSAS,KAZ2755,7,0.6632,,
1275,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/021.jpg,MARYLAND,M3J4054,7,0.7562,,
1276,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/038.jpg,MICHIGAN,NCP0077,7,0.7429,,
1277,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/005.jpg,MONTANA,BYM6155,7,0.7438,,
1278,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/124.jpg,NEW HAMPSHIRE,3O71626,7,0.5944,,
1279,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/026.jpg,NEW YORK,GHR2302,7,0.9066,,
1280,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/028.jpg,NORTH CAROLINA,OBX001C,7,0.9173,,
1281,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/069.jpg,OHIO,ETB8I32,7,0.9246,,
1282,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/063.jpg,PENNSYLVANIA,KSK5215,7,0.9529,,
1283,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/135.jpg,TENNESSEE,IOZ7NHX,7,0.8215,,
1284,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/150.jpg,TEXAS,GFG2388,7,0.8731,,
1285,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/090.jpg,VIRGINIA,VGT7519,7,0.9233,,
1286,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/020.jpg,WASHINGTON,BIC9434,7,0.9016,,
1287,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/009.jpg,WEST VIRGINIA,A933224,7,0.7977,,
1288,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/022.jpg,WISCONSIN,DIB1111,7,0.7046,,
1289,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/031.jpg,ALASKA,EWZ4266,7,0.7928,,
1290,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/070.jpg,ARKANSAS,GJZ2990,7,0.6993,,
1291,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/061.jpg,COLORADO,OAO4378,7,0.722,,
1292,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/075.jpg,DELAWARE,QQO2655,7,0.5376,,
1293,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/007.jpg,FLORIDA,NOO300A,7,0.6883,,
1294,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/INDIANA/149.jpg,INDIANA,99S8918,7,0.7474,,
1295,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/059.jpg,IOWA,STZ1782,7,0.6554,,
1296,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/146.jpg,KENTUCKY,77B30CC,7,0.702,,
1297,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/048.jpg,LOUISIANA,BPP4802,7,0.8275,,
1298,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/122.jpg,MAINE,O335600,7,0.5579,,
1299,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/101.jpg,MASSACHUSETTS,SDW1110,7,0.6004,,
1300,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/079.jpg,MINNESOTA,DZA5088,7,0.8112,,
1301,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/069.jpg,MISSOURI,MNG588L,7,0.714,,
1302,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEBRASKA/116.jpg,NEBRASKA,KVF0133,7,0.6886,,
1303,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEVADA/008.jpg,NEVADA,CSO3928,7,0.575,,
1304,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/051.jpg,NEW JERSEY,ZOJ9001,7,0.6401,,
1305,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/085.jpg,NEW MEXICO,BZ99R1X,7,0.5494,,
1306,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/023.jpg,NORTH DAKOTA,TRMP204,7,0.8871,,
1307,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/016.jpg,OKLAHOMA,CNV7999,7,0.9025,,
1308,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/OREGON/5.jpg,OREGON,YCTB000,7,0.6276,,
1309,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/070.jpg,RHODE ISLAND,RTT9900,7,0.7757,,
1310,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/085.jpg,SOUTH CAROLINA,EYD9236,7,0.8803,,
1311,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/031.jpg,SOUTH DAKOTA,AQF5572,7,0.7614,,
1312,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/UTAH/2.jpg,UTAH,DII0004,7,0.635,,
1313,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/063.jpg,VERMONT,HHL8400,7,0.6428,,
1314,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALABAMA/052.jpg,ALABAMA,2BCP871,7,0.6831,,
1315,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/126.jpg,AMERICAN SAMOA,1ZZ2E49,7,0.3691,,
1316,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CNMI/51.jpg,CNMI,GR98881,7,0.6805,,
1317,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/026.jpg,GUAM,TAM9351,7,0.8955,,
1318,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/100.jpg,HAWAI,RPT9332,7,0.8935,,
1319,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSIPPI/099.jpg,MISSIPPI,HTZ2222,7,0.7054,,
1320,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PUERTO RICO/123.jpg,PUERTO RICO,OOO9IET,7,0.7969,,
1321,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/096.jpg,U S VIRGIN ISLANDS,CDY1779,7,0.9596,,
1322,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/037.jpg,WASHINGTON DC,AZJ0806,7,0.6803,,
1323,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/132.jpg,WYOMING,IAN1695,7,0.5013,,
1324,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/117.jpg,ARIZONA,UHYIKE5,7,0.7801,,
1325,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/113.jpg,CALIFORNIA,3DKT279,7,0.7191,,
1326,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/012.jpg,CONNECTICUT,M392L85,7,0.6394,,
1327,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/066.jpg,GEORGIA,ACF8693,7,0.9657,,
1328,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IDAHO/089.jpg,IDAHO,MCZ956K,7,0.6985,,
1329,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/ILLINOIS/4.jpg,ILLINOIS,3OO8707,7,0.7007,,
1330,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/019.jpg,KANSAS,MSZ5744,7,0.6519,,
1331,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/010.jpg,MARYLAND,CB60076,7,0.7365,,
1332,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/121.jpg,MICHIGAN,UGG0991,7,0.7401,,
1333,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/077.jpg,MONTANA,ZG30894,7,0.7319,,
1334,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/080.jpg,NEW HAMPSHIRE,PB4NEG0,7,0.5908,,
1335,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/116.jpg,NEW YORK,AIC4322,7,0.8965,,
1336,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/093.jpg,NORTH CAROLINA,IRR9801,7,0.9056,,
1337,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/020.jpg,OHIO,AAO7077,7,0.874,,
1338,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/123.jpg,PENNSYLVANIA,EZA0666,7,0.9444,,
1339,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/TENNESSEE/3.jpg,TENNESSEE,D36994K,7,0.8092,,
1340,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/047.jpg,TEXAS,AE88170,7,0.8436,,
1341,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/091.jpg,VIRGINIA,ZZZ0000,7,0.9166,,
1342,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/103.jpg,WASHINGTON,HDT4677,7,0.891,,
1343,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/125.jpg,WEST VIRGINIA,SRL7114,7,0.7882,,
1344,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/055.jpg,WISCONSIN,GJM0458,7,0.7044,,
1345,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/139.jpg,ALASKA,LIJ3122,7,0.7891,,
1346,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/ARKANSAS/3.jpg,ARKANSAS,MPS2480,7,0.6987,,
